Fr,article,EN,Example_FR,Example_EN,TAGS
Premièrement,,firstly,Ce Premièrement sera communiqué aux parties prenantes.,This firstly will be communicated to stakeholders.,F2 — Ordre
(Tout) d’abord,,(first of) all; to begin with,Ce (Tout) d’abord sera communiqué aux parties prenantes.,This (first of) all; to begin with will be communicated to stakeholders.,F2 — Ordre
première chose,la,the first thing,Ce première chose sera communiqué aux parties prenantes.,the first thing will be communicated to stakeholders.,F2 — Ordre
Pour commencer,,to start; to begin,Veuillez Pour commencer la pièce jointe d'ici vendredi.,Please start; to begin the document by Friday.,F2 — Ordre
Je commence par,,I'll start by,Ce Je commence par sera communiqué aux parties prenantes.,This I'll start by will be communicated to stakeholders.,F2 — Ordre
Avant tout,,above all; first and foremost,Cet Avant tout sera communiqué aux parties prenantes.,This above all; first and foremost will be communicated to stakeholders.,F2 — Ordre
Deuxièmement,,secondly,Ce Deuxièmement sera communiqué aux parties prenantes.,This secondly will be communicated to stakeholders.,F2 — Ordre
Ensuite,,then; next,Cet Ensuite sera communiqué aux parties prenantes.,This then; next will be communicated to stakeholders.,F2 — Ordre
Puis,,then,Ce Puis sera communiqué aux parties prenantes.,This then will be communicated to stakeholders.,F2 — Ordre
deuxième chose,la,the second thing,Ce deuxième chose sera communiqué aux parties prenantes.,the second thing will be communicated to stakeholders.,F2 — Ordre
Après (ça),,after (that),Cet Après (ça) sera communiqué aux parties prenantes.,This after (that) will be communicated to stakeholders.,F2 — Ordre
fois que,une,once (something has happened),Ce fois que sera communiqué aux parties prenantes.,This once (something has happened) will be communicated to stakeholders.,F2 — Ordre
Après avoir,,after having (done),Cet Après avoir sera communiqué aux parties prenantes.,This after having (done) will be communicated to stakeholders.,F2 — Ordre
Finalement,,finally,Ce Finalement sera communiqué aux parties prenantes.,This finally will be communicated to stakeholders.,F2 — Ordre
Enfin,,at last; finally,Cet Enfin sera communiqué aux parties prenantes.,This at last; finally will be communicated to stakeholders.,F2 — Ordre
dernière chose,la,the last thing,Ce dernière chose sera communiqué aux parties prenantes.,the last thing will be communicated to stakeholders.,F2 — Ordre
Pour finir,,to finish; lastly,Veuillez Pour finir le formulaire d'ici vendredi.,Please finish; lastly the document by Friday.,F2 — Ordre
Par exemple,,for example,Ce Par exemple sera communiqué aux parties prenantes.,This for example will be communicated to stakeholders.,F3 — Exemple
Je pense par exemple à,,"I’m thinking, for example, of",Ce Je pense par exemple à sera communiqué aux parties prenantes.,"This I’m thinking, for example, of will be communicated to stakeholders.",F3 — Exemple
Ça me fait penser à,,that makes me think of,Ce Ça me fait penser à sera communiqué aux parties prenantes.,that makes me think of will be communicated to stakeholders.,F3 — Exemple
Je te donne un exemple,,let me give you an example,Ce Je te donne un exemple sera communiqué aux parties prenantes.,This let me give you an example will be communicated to stakeholders.,F3 — Exemple
bon exemple de,un,a good example of,Ce bon exemple de sera communiqué aux parties prenantes.,This a good example of will be communicated to stakeholders.,F3 — Exemple
Si on prend comme exemple,,if we take as an example,Ce Si on prend comme exemple sera communiqué aux parties prenantes.,This if we take as an example will be communicated to stakeholders.,F3 — Exemple
C’est comme,,it’s like,Ce C’est comme sera communiqué aux parties prenantes.,This it’s like will be communicated to stakeholders.,F3 — Exemple
On n’a qu’à penser à,,we only have to think of,Cet On n’a qu’à penser à sera communiqué aux parties prenantes.,This we only have to think of will be communicated to stakeholders.,F3 — Exemple
"plus bel exemple de ça, c’est",le,the best example of that is,"Ce plus bel exemple de ça, c’est sera communiqué aux parties prenantes.",the best example of that is will be communicated to stakeholders.,F3 — Exemple
À titre d’exemple,,by way of example,Cet À titre d’exemple sera communiqué aux parties prenantes.,This by way of example will be communicated to stakeholders.,F3 — Exemple
"Ce qui me frappe, c’est",,what strikes me is,"Ce Ce qui me frappe, c’est sera communiqué aux parties prenantes.",This what strikes me is will be communicated to stakeholders.,F4 — Évidence
"Ce qui me surprend, c’est",,what surprises me is,"Ce Ce qui me surprend, c’est sera communiqué aux parties prenantes.",This what surprises me is will be communicated to stakeholders.,F4 — Évidence
"Ce qui m’étonne, c’est",,what astonishes me is,"Ce Ce qui m’étonne, c’est sera communiqué aux parties prenantes.",This what astonishes me is will be communicated to stakeholders.,F4 — Évidence
"Ce qui est évident, c’est",,what is obvious is,"Ce Ce qui est évident, c’est sera communiqué aux parties prenantes.",This what is obvious is will be communicated to stakeholders.,F4 — Évidence
"Ce que je trouve intéressant, c’est",,what I find interesting is,"Ce Ce que je trouve intéressant, c’est sera communiqué aux parties prenantes.",This what I find interesting is will be communicated to stakeholders.,F4 — Évidence
"Ce que j’aime (beaucoup), c’est",,what I (really) like is,"Ce Ce que j’aime (beaucoup), c’est sera communiqué aux parties prenantes.",This what I (really) like is will be communicated to stakeholders.,F4 — Évidence
"Ce qui est important, c’est",,what is important is,"Ce Ce qui est important, c’est sera communiqué aux parties prenantes.",This what is important is will be communicated to stakeholders.,F4 — Évidence
"... ça, c’est (difficile)",,"... that, that is (hard)","Ce ... ça, c’est (difficile) sera communiqué aux parties prenantes.","This ... that, that is (hard) will be communicated to stakeholders.",F4 — Évidence
Je suis (tout à fait) d’accord,,I (completely) agree,Ce Je suis (tout à fait) d’accord sera communiqué aux parties prenantes.,This I (completely) agree will be communicated to stakeholders.,F5 — Accord
Bien sûr,,of course,Ce Bien sûr sera communiqué aux parties prenantes.,This of course will be communicated to stakeholders.,F5 — Accord
Certainement,,certainly,Ce Certainement sera communiqué aux parties prenantes.,This certainly will be communicated to stakeholders.,F5 — Accord
Absolument,,absolutely,Cet Absolument sera communiqué aux parties prenantes.,This absolutely will be communicated to stakeholders.,F5 — Accord
