FR,Article,EN,Example,TAGS
Abonnement,m,subscription,"J’ai renouvelé mon abonnement pour un an.",admin
Accorder,,to grant,"On peut lui accorder une entrevue demain.",admin
Accroître,,to increase; to make greater; to enlarge,"Le ministère veut accroître la capacité du système.",business
Accusé de réception,,acknowledgement of receipt,"Veuillez envoyer un accusé de réception.",admin
À cet effet,,to that end,"Un comité a été créé à cet effet.",admin
Acheminer,,to forward; to send,"Veuillez acheminer le dossier au directeur.",admin
À compter de,,starting,"La politique s’applique à compter de lundi.",time
À condition de,,on condition that,"Vous pouvez participer à condition de vous inscrire.",condition
À condition que,,on the condition that; provided that,"Je viendrai à condition que tu sois prêt.",condition
À court terme,,in the short term,"À court terme, nous devons réduire les coûts.",time
À moyen terme,,in the medium term,"À moyen terme, l’organisation embauchera plus d’employés.",time
À long terme,,in the long term,"À long terme, ce projet sera rentable.",time
Actualité,f,current events,"Je lis les actualités chaque matin.",news
Actuellement,,currently; at the present time,"Nous travaillons actuellement sur le rapport.",time
Adjoint administratif,,administrative assistant,"L’adjoint administratif organise les réunions.",admin
Admissible,,eligible,"Vous êtes admissible au programme.",policy
Affectation,f,posting,"Elle a reçu une nouvelle affectation à Toronto.",HR
Affecté,,to be assigned (to),"Il est affecté à un autre service.",HR
Affiché,,posted,"Le poste a été affiché en ligne.",HR
Afin de,,in order to,"Elle étudie afin de réussir l’examen.",purpose
Afin que,,so that,"Je t’appelle afin que tu sois prêt.",purpose
Agenda,m,diary; organizer,"J’ai noté la réunion dans mon agenda.",admin
Ailleurs,,elsewhere,"Ils ont choisi de travailler ailleurs.",general
Ainsi que,,as well as; along with,"Elle a apporté son ordinateur ainsi que ses notes.",general
À jour,,up to date,"Les fichiers ne sont pas à jour.",admin
À la retraite,,retired,"Mon père est à la retraite.",HR
À la suite de,,following; after,"À la suite de la réunion, plusieurs décisions ont été prises.",time
À l'avenir,,in the future,"À l’avenir, nous utiliserons un nouveau système.",time
À l'époque,,at that time (in the past),"À l’époque, je vivais à Montréal.",time
À l'étranger,,out of the country,"Il travaille à l’étranger.",travel
À l'étude,,under consideration; under review,"Le projet est à l’étude.",policy
Allouer,,to allocate,"Le budget a été alloué au projet.",finance
À ma connaissance,,as far as I know,"À ma connaissance, les données sont exactes.",general
Amélioration,f,improvement,"Nous avons remarqué une amélioration du rendement.",business
À moins que,,unless,"Je n’irai pas à moins qu’il vienne.",condition
Ancienneté,,seniority; years of service,"L’ancienneté sera prise en compte.",HR
Année financière,f,fiscal year,"L’année financière se termine en mars.",finance
Annexer,,to enclose; to attach,"Veuillez annexer le document à votre courriel.",admin
À partir de,,as of; beginning; effective,"La politique entre en vigueur à partir de demain.",time
Aperçu,m,outline; overview,"Voici un aperçu du projet.",admin
Appel d'offres,m,tendering,"L’appel d’offres sera publié ce mois-ci.",procurement
Appuyer,,to support,"Je vais appuyer votre proposition.",business
Assigner,,to assign someone to something,"On l’a assignée à une nouvelle équipe.",HR
Assister à,,to attend,"Je vais assister à la séance demain.",HR
Assumer,,to take on responsibilities,"Elle doit assumer plus de tâches.",HR
Assurance invalidité,f,disability plan,"Il reçoit des prestations de l’assurance invalidité.",HR
Atelier,m,workshop,"Je vais animer un atelier demain.",training
À temps partiel,,part-time,"Elle travaille à temps partiel.",HR
À temps plein,,full-time,"Je suis employé à temps plein.",HR
À titre de,,as,"Elle travaille à titre de consultante.",HR
À titre d'information,,for your information,"Je joins la note à titre d’information.",admin
Atteindre,,to reach,"Nous voulons atteindre nos objectifs.",business
Attendu que,,given that; since,"Attendu que la situation est urgente, nous agirons immédiatement.",policy
Attente,f,expectation,"Les attentes sont élevées.",HR
Atténuer,,to diminish; to lessen,"Nous avons pris des mesures pour atténuer les risques.",risk
Attestation,f,certificate,"On demande une attestation d’emploi.",admin
Attribuer,,to allocate,"On a attribué les fonds au programme.",finance
Au besoin,,if necessary,"Je vous aiderai au besoin.",general
Au cours de,,during,"Au cours de l’année, plusieurs changements ont eu lieu.",time
Au départ,,at first; initially,"Au départ, je ne comprenais pas bien.",time
Au fur et à mesure,,gradually,"Au fur et à mesure, tu vas progresser.",general
Augmentation,f,increase,"On a obtenu une augmentation de budget.",finance
Augmenter,,to increase,"Ils veulent augmenter la capacité du service.",business
Au moins,,at least,"Il faut au moins deux personnes.",general
Au plus tard,,at the latest,"Envoyez-le au plus tard vendredi.",time
Au préalable,,before,"Au préalable, veuillez lire les instructions.",time
Auprès de,,contact,"Elle a étudié auprès de grands chercheurs.",general
Au sein de,,within,"Il travaille au sein du ministère.",admin
Au terme de,,at the completion of,"Au terme du projet, nous ferons un rapport.",time
Aussitôt que,,as soon as,"Aussitôt que tu arrives, appelle-moi.",time
Avantages sociaux,mpl,social benefits,"Les avantages sociaux sont excellents.",HR
Avertir,,to notify,"Veuillez m’avertir si vous êtes en retard.",admin
Avis,m,notice; opinion,"J’ai reçu un avis important.",admin
Aviser,,to inform,"Veuillez aviser votre gestionnaire.",admin
Avoir droit à,,to be entitled to,"Vous avez droit à trois semaines de vacances.",policy
Avoir le droit de,,to have the right to,"Il a le droit de refuser.",policy
Avoir pour objet,,to have as its aim,"La politique a pour objet de simplifier le processus.",policy
Avoir une incidence sur,,to have an influence on,"Ces décisions auront une incidence sur votre travail.",policy
Banque de données,f,database,"La banque de données est protégée.",IT
