fr,article,en,example_fr,example_en,tags
clavarder,,to chat (online),Nous avons clavardé sur Teams avec les régions pour clarifier le dossier.,We chatted on Teams with the regions to clarify the file.,work
comité de gestion,m,management committee,Le comité de gestion se réunit chaque mois pour réviser les priorités stratégiques.,The management committee meets monthly to review strategic priorities.,work
commis,mf,clerk,Le commis a préparé les dossiers pour la séance d’information.,The clerk prepared the files for the briefing.,work
composer,,to dial,Veuillez composer le poste 4023 pour joindre le service juridique.,Please dial extension 4023 to reach Legal Services.,work
compressions budgétaires,fpl,budget cuts,Les compressions budgétaires ont réduit le nombre de contrats offerts cette année.,Budget cuts have reduced the number of contracts offered this year.,work
comptable,mf,accountant,La comptable a validé les dépenses avant la fin du trimestre.,The accountant validated the expenses before the end of the quarter.,work
compter,,to intend to,Je compte soumettre la recommandation au directeur demain.,I intend to submit the recommendation to the director tomorrow.,work
compte rendu,m,report,Le gestionnaire a présenté un compte rendu détaillé après la consultation publique.,The manager presented a detailed report after the public consultation.,work
compte tenu de,,considering,"Compte tenu de la nouvelle politique, nous devons ajuster notre échéancier.","Considering the new policy, we need to adjust our timeline.",work
concours,m,competition,Le ministère a lancé un concours externe pour pourvoir le poste.,The department launched an external competition to fill the position.,work
concurrentiel,,competitive,Le marché est très concurrentiel pour les services numériques.,The market is highly competitive for digital services.,work
concurrence,f,competition,La concurrence entre les fournisseurs a permis d'obtenir un meilleur prix.,Competition among suppliers led to a better price.,work
confier,,to entrust,Nous devons confier le dossier à un cabinet spécialisé avant la fin du mois.,We need to entrust the file to a specialist firm by the end of the month.,work
conformément à,,in accordance with,"Conformément à la directive, tous les employés doivent suivre la formation.","In accordance with the directive, all employees must take the training.",work
congé sans solde,m,leave without pay,Il a demandé un congé sans solde pour poursuivre ses études.,He requested leave without pay to continue his studies.,work
congédiement,m,dismissal,Le congédiement a été effectué selon les règles de la convention.,The dismissal was carried out according to the collective agreement rules.,work
congédier,,to dismiss,L'organisation a dû congédier plusieurs employés pour motif économique.,The organization had to dismiss several employees for economic reasons.,work
consacrer,,to devote,Le ministère va consacrer des ressources à la cybersécurité.,The department will devote resources to cybersecurity.,work
conseil,m,advice,Le conseil a recommandé d’approuver le budget.,The advisory body recommended approving the budget.,work
conseil du trésor,m,Treasury Board,Le Conseil du Trésor a approuvé la nouvelle initiative.,The Treasury Board approved the new initiative.,work
consigne,f,instruction; rule,Les consignes de sécurité doivent être suivies en tout temps.,Safety instructions must be followed at all times.,work
constater que,,to observe; to notice,Le comité a constaté que la solution proposée répond aux exigences.,The committee noted that the proposed solution meets the requirements.,work
contribuable,mf,taxpayer,Chaque contribuable recevra un avis de cotisation.,Each taxpayer will receive a notice of assessment.,work
convenir à qqun,,to suit someone,Cet aménagement convient à l’équipe des opérations.,This arrangement suits the operations team.,work
convenir de,,to agree on,Nous avons convenu de reporter la réunion à jeudi.,We agreed to postpone the meeting to Thursday.,work
convention collective,f,collective agreement,La convention collective expire à la fin de l’année.,The collective agreement expires at the end of the year.,work
convoquer,,to summon; call to a meeting,Le directeur va convoquer une réunion spéciale.,The director will call a special meeting.,work
coordonnées,fpl,contact information,Veuillez mettre vos coordonnées à jour dans le système.,Please update your contact information in the system.,work
cotisation,f,dues,La cotisation annuelle est payable avant le 31 mars.,The annual dues are payable before March 31.,work
courriel,m,e-mail,J’ai reçu un courriel confirmant ma participation à l’atelier.,I received an email confirming my participation in the workshop.,work
courrier,m,mail,Le courrier interne sera distribué aux directions cet après-midi.,Internal mail will be delivered to the branches this afternoon.,work
covoiturage,m,car pooling,Le ministère encourage le covoiturage pour réduire l’empreinte carbone.,The department encourages carpooling to reduce the carbon footprint.,work
croissance,f,growth,La croissance des services numériques nécessite de nouvelles embauches.,Growth in digital services requires new hiring.,work
d'ailleurs,,besides; furthermore,"D’ailleurs, le secrétariat publiera le plan d’action après consultation.","Besides, the secretariat will publish the action plan after consultation.",work
dans la mesure du possible,,as much as possible,"Dans la mesure du possible, veuillez transmettre vos demandes via le portail.","As much as possible, please submit your requests through the portal.",work
dans le but de,,in order to,Le projet a été lancé dans le but de moderniser les services aux citoyens.,The project was launched in order to modernize services for citizens.,work
dans le cadre de,,as part of; within the framework of,"Dans le cadre de cette initiative, nous collaborons avec plusieurs provinces.","As part of this initiative, we are collaborating with several provinces.",work
dans les plus brefs délais,,as soon as possible,Merci de répondre dans les plus brefs délais afin de finaliser le dossier.,Please respond as soon as possible in order to finalize the file.,work
date limite,f,deadline,La date limite pour soumettre les candidatures est le 30 juin.,The deadline to submit applications is June 30.,work
date ultérieure,f,later date,Le président annoncera les prochaines étapes à une date ultérieure.,The chair will announce next steps at a later date.,work
d'autre part,,on the other hand,"D’autre part, le fournisseur a demandé un suivi rapproché après consultation.","On the other hand, the supplier requested close follow-up after consultation.",work
davantage,,more,Nous aurons davantage de données après la prochaine collecte.,We will have more data after the next collection.,work
déclaration de revenus,f,income tax return,Les contribuables doivent soumettre leur déclaration de revenus avant la fin d’avril.,Taxpayers must file their income tax return before the end of April.,work
de façon à,,in order to,Nous avons conçu ce processus de façon à simplifier la vérification.,We designed this process in order to simplify verification.,work
de façon à ce que,,so that,Le plan est structuré de façon à ce que tous les ministères puissent participer.,The plan is structured so that all departments can participate.,work
demande,f,request; inquiry; application,La demande a été reçue et est en cours d’analyse.,The request was received and is under review.,work
démarche,f,approach,Les démarches ont été entreprises pour protéger les renseignements personnels.,Steps have been taken to protect personal information.,work
démettre,,to dismiss,Le conseil a démis le directeur de ses fonctions après l’audit.,The board dismissed the director from their duties after the audit.,work
démissionner,,to resign,La directrice a démissionné pour raisons personnelles.,The director resigned for personal reasons.,work
de moins en moins,,less and less,De moins en moins de ressources sont disponibles pour le projet pilote.,Fewer and fewer resources are available for the pilot project.,work
dépense,f,expense; expenditure,Une dépense a été engagée pour l’achat de licences logicielles.,An expense was incurred for the purchase of software licenses.,work
de plus,,moreover,"De plus, nous documenterons les risques dans le registre.","Moreover, we will document the risks in the register.",work
de plus en plus,,more and more,La direction s’engage à publier de plus en plus d’indicateurs ouverts.,Management is committed to publishing more and more open indicators.,work
déposer une plainte,,to lodge a complaint,Nous avons déposé une plainte auprès du fournisseur.,We filed a complaint with the supplier.,work
dès,,effective; starting,"Dès lundi, un accusé de réception sera envoyé au demandeur.","Starting Monday, an acknowledgement of receipt will be sent to the applicant.",work
désagrément,m,inconvenience,Le désagrément a été pris en compte et un correctif sera appliqué.,The inconvenience has been taken into account and a fix will be applied.,work
description de tâches,f,job description,La description de tâches a été mise à jour après la reclassification.,The job description was updated after reclassification.,work
désormais,,from now on; henceforth,"Désormais, toutes les demandes doivent être soumises via le portail.","From now on, all requests must be submitted through the portal.",work
dès que,,as soon as,"Dès que la solution sera validée, nous procéderons au déploiement.","As soon as the solution is validated, we will proceed with deployment.",work
de temps en temps,,from time to time,"De temps en temps, le secrétariat reporte la séance pour compléter l’analyse.","From time to time, the secretariat postpones the session to complete the analysis.",work
devancer,,to move up; to advance,Nous devons devancer la date de livraison en raison des nouvelles priorités.,We need to move up the delivery date due to new priorities.,work
dévouement,m,dedication,Son dévouement au service public a été reconnu par un prix national.,His dedication to public service was recognized with a national award.,work
d'ici,,by; at the latest,"D'ici la fin du mois, nous publierons le rapport final.","By the end of the month, we will publish the final report.",work
différend,m,disagreement; dispute,Un différend est survenu entre les partenaires concernant le budget.,A dispute arose between the partners regarding the budget.,work
direction,f,management,La direction a approuvé la mise en œuvre progressive du programme.,Management approved the phased implementation of the program.,work
directive,f,instruction,La directive exige que tous les employés suivent la formation en sécurité.,The directive requires all employees to complete security training.,work
disponible,,available,Le rapport n’est pas encore disponible sur le portail interne.,The report is not yet available on the internal portal.,work
don,m,donation,Le don a permis de soutenir plusieurs initiatives communautaires.,The donation helped support several community initiatives.,work
donnée,f,data,La donnée doit être validée avant d’être ajoutée au système.,The data must be validated before being added to the system.,work
donner suite à,,to follow up on,Nous devons donner suite à la plainte transmise par le client interne.,We must follow up on the complaint submitted by the internal client.,work
dorénavant,,from now on,"Dorénavant, toutes les demandes devront être soumises en ligne.","From now on, all requests will have to be submitted online.",work
dotation,f,staffing,La dotation pour ce poste commencera la semaine prochaine.,Staffing for this position will begin next week.,work
douane,f,customs,L’Agence des services frontaliers gère les questions liées à la douane.,The border services agency manages matters related to customs.,work
ébauche,f,draft,L’équipe a présenté une ébauche du plan stratégique.,The team presented a draft of the strategic plan.,work
écart,m,difference,Il y a un écart entre les résultats prévus et observés.,There is a difference between the expected and observed results.,work
échantillon,m,sample,L’échantillon a été analysé en laboratoire.,The sample was analyzed in the laboratory.,work
échéance,f,due date,La date d'échéance du projet est le 15 mars.,The project due date is March 15.,work
efficacité,f,effectiveness,L’efficacité du programme sera évaluée annuellement.,The program’s effectiveness will be assessed annually.,work
effectuer,,to perform; to carry out,L’équipe doit effectuer les tests d’assurance qualité.,The team must carry out quality-assurance testing.,work
également,,also; as well,Le rapport sera publié et également traduit en français et en anglais.,The report will be published and also translated into French and English.,work
élevé,,high,Les coûts élevés ont retardé le lancement.,High costs delayed the launch.,work
embaucher,,to hire,Nous prévoyons embaucher trois analystes supplémentaires.,We plan to hire three additional analysts.,work
empêchement,m,obstacle,Un empêchement a été signalé; la rencontre sera replanifiée.,An impediment was reported; the meeting will be rescheduled.,work
emploi du temps,m,schedule,L’emploi du temps a été modifié pour accommoder la formation.,The schedule was modified to accommodate the training.,work
employé nommé pour une période déterminée,m,term employee,L’employé(e) nommé pour une période déterminée terminera son mandat en décembre.,The term employee will finish their term in December.,work
emprunter,,to borrow,Le ministère doit emprunter du matériel spécialisé auprès d’un autre service.,The department must borrow specialized equipment from another unit.,work
en cas de,,in the event of; in case of,"En cas de panne, veuillez communiquer avec le soutien technique.","In the event of an outage, please contact technical support.",work
en ce qui a trait à,,concerning; regarding,"En ce qui a trait à la cybersécurité, nous renforcerons les contrôles.","Regarding cybersecurity, we will strengthen controls.",work
en ce qui concerne,,concerning,"En ce qui concerne les partenariats, l’équipe va formaliser un protocole d’entente.","Concerning partnerships, the team will formalize a memorandum of understanding.",work
en congé,,on leave,L’employé est actuellement en congé et reviendra lundi.,The employee is currently on leave and will return Monday.,work
en conséquence,,therefore,"En conséquence, nous avons ajusté le calendrier du projet.","Therefore, we adjusted the project schedule.",work
en deçà de,,below; under,Les dépenses sont en deçà de ce qui avait été prévu.,Expenditures are below what had been planned.,work
en dépit de,,in spite of,"En dépit de contraintes budgétaires, le programme a été maintenu.","In spite of budget constraints, the program was maintained.",work
en détail,,in detail,Le rapport décrit en détail les résultats de l’évaluation.,The report describes the evaluation results in detail.,work
en effet,,indeed; in fact,"En effet, les consultations ont confirmé les besoins identifiés.","Indeed, the consultations confirmed the identified needs.",work
en fait,,in fact; actually,"En fait, les résultats préliminaires confirment l’hypothèse.","In fact, the preliminary results confirm the hypothesis.",work
en fonction de,,according to; based on,"En fonction de la capacité, le comité s’engage à ajuster le calendrier.","Based on capacity, the committee commits to adjusting the schedule.",work
engager,,to hire,Le ministère prévoit engager trois analystes supplémentaires.,The department plans to hire three additional analysts.,work
engendrer,,to cause; to give rise to,Un retard d’approvisionnement pourrait engendrer des coûts additionnels.,A supply delay could give rise to additional costs.,work
