FR,EN,Example_FR,Example_EN,Tags
afin de + inf.,in order to,Il étudie afin de réussir.,He studies in order to succeed.,But
afin que + subj.,so that,Je parle lentement afin que tu comprennes.,so that you understand.,But
pour + inf.,to / in order to,Je viens pour t’aider.,I’m coming to help you.,But
pour que + subj.,so that,Je t’appelle pour que tu saches la vérité.,so that you know the truth.,But
viser à + inf.,to aim to,La réforme vise à réduire les coûts.,aims to reduce costs.,But
le but,the goal,Le but est simple.,The goal is simple.,But
l’objectif,the objective,Notre objectif est clair.,Our objective is clear.,But
avoir pour but,to aim / to have as a goal,Le projet a pour but d’innover.,aims to innovate.,But
en vue de + nom/inf.,with a view to,Ils économisent en vue d’acheter une maison.,They are saving to buy a house.,But
parce que,because,Je pars parce qu’il est tard.,I’m leaving because it’s late.,Cause
comme (début de phrase),since / because,"Comme il pleuvait, on est restés.","Since it was raining, we stayed.",Cause
puisque,since (obvious cause),"Puisque tu sais, explique.","Since you know, explain.",Cause
étant donné (nom),given (noun),Étant donné la situation…,Given the situation…,Cause
étant donné que + S+V,since / given that,Étant donné qu’il pleut…,Given that it’s raining…,Cause
vu (nom),given,Vu la météo…,Given the weather…,Cause
vu que + S+V,since,Vu qu’il est malade…,Since he’s sick…,Cause
grâce à (positif),thanks to,"Grâce à ses efforts, il a réussi.","Thanks to his efforts, he succeeded.",Cause
à cause de (négatif),because of,"À cause de la neige, on est en retard.","Because of the snow, we are late.",Cause
c’est pourquoi,that’s why,Il pleut ; c’est pourquoi je reste.,It’s raining; that’s why I’m staying.,Conséquence
"une des raisons, c’est que",one reason is that,"Une des raisons, c’est qu’il fait froid.",One reason is that it’s cold.,Cause
le motif / la cause / la raison,the cause / reason,La cause du problème est inconnue.,The cause of the problem is unknown.,Cause
donc / alors,so / therefore,Il pleut ; donc on reste.,"It’s raining, so we’re staying.",Conséquence
par conséquent / en conséquence,consequently / therefore,"Les coûts ont augmenté ; par conséquent, les prix montent.","Costs increased; consequently, prices are rising.",Conséquence
ce qui fait que,which means that,"Il travaille trop, ce qui fait qu’il est épuisé.","He works too much, which means he’s exhausted.",Conséquence
si bien que,so… that,"Il a crié, si bien que tout le monde l’a entendu.","He shouted, so that everyone heard.",Conséquence
ce qui nous a amenés à,which led us to,…ce qui nous a amenés à changer de plan.,…which led us to change the plan.,Conséquence
c’est pour ça que,that’s why,J’étais malade ; c’est pour ça que je suis resté.,I was sick; that’s why I stayed.,Conséquence
c’est pour cette raison que,for that reason,C’est pour cette raison que nous partons.,"For that reason, we’re leaving.",Conséquence
occasionner,to cause,La panne a occasionné des retards.,The outage caused delays.,Conséquence
entraîner,to lead to / bring about,La crise a entraîné des pertes.,The crisis led to losses.,Conséquence
provoquer,to provoke / trigger,Cela a provoqué une réaction forte.,That triggered a strong reaction.,Conséquence
impliquer,to involve / entail,Le poste implique des déplacements.,The position entails travel.,Conséquence
avoir pour effet de + inf.,to have the effect of,Cela a pour effet de réduire les coûts.,This has the effect of reducing costs.,Conséquence
pour + inf.,to / in order to,Je suis la formation linguistique pour obtenir le niveau C.,I’m taking language training to obtain level C.,But
afin de + inf.,in order to,L’organisation met à pied un employé afin de renforcer l’efficacité de l’organisation.,The organization lays off an employee in order to strengthen its efficiency.,But
en vue de + nom/inf.,with a view to,On doit organiser des réunions hebdomadaires dans la fonction publique en vue d’augmenter la collaboration entre les équipes.,We should organize weekly meetings in the public service with a view to increasing collaboration between teams.,But
si + imparfait → conditionnel,would… if it were…,J’accepterais un poste comportant davantage de responsabilités s’il était plus intéressant.,I would accept a position with more responsibilities if it were more interesting.,Condition
