FR,Article,Article_suggested,Gender_confidence,EN,Example_FR,Example_EN,TAGS
Comprendre,,,,to comprise; to be made up of,Nous devons Comprendre avant la date limite fixée par le gestionnaire.,We must comprise before the deadline set by the manager.,Module L1 — Mon ministère
direction,f,f,High,the branch,"Lors de la réunion, le direction a été présenté(e) à l’équipe.","During the meeting, the the branch was presented to the team.",Module L1 — Mon ministère
division,f,f,High,the division,Le plan inclut division pour améliorer la prestation de services.,The plan includes the division to improve service delivery.,Module L1 — Mon ministère
section,f,f,High,the section,"Dans le rapport, le section figure parmi les priorités.","In the report, the the section is listed among the priorities.",Module L1 — Mon ministère
service,,f,Low,the service,"Sans service, il serait difficile d’assurer une gouvernance claire.","Without the service, it would be difficult to ensure clear governance.",Module L1 — Mon ministère
Faire appel à,,,,"to call on (e.g., private companies, consultants, specialists)","Dans la note d’information, on propose de Faire appel à pour réduire les risques.","In the briefing note, we propose to call on (e.g. to reduce risks.",Module L1 — Mon ministère
mandat,,m,Low,a mandate,La mise en œuvre repose en grande partie sur mandat.,Implementation largely depends on a mandate.,Module L1 — Mon ministère
Avoir pour mandat de,,,,to have the mandate to,Le ministère s’attend à ce que nous puissions Avoir pour mandat de sans retard.,The department expects us to have the mandate to without delay.,Module L1 — Mon ministère
"objectif (à court, moyen, long terme)",,f,Low,an objective (short/medium/long-term),"L’ objectif (à court, moyen, long terme) est essentiel(le) pour appuyer la prise de décision.",The an objective is essential to support decision-making.,Module L1 — Mon ministère
Avoir pour objectif,,,,to have as an objective,L’équipe a décidé de Avoir pour objectif après la consultation des partenaires.,The team decided to have as an objective after consulting stakeholders.,Module L1 — Mon ministère
S’occuper de (d’un dossier),,,,to take care of; to handle (a file),"Pour respecter l’échéancier, on va S’occuper de (d’un dossier) dès cette semaine.","To meet the timeline, we will take care of this week.",Module L1 — Mon ministère
partenariat,,m,Low,a partnership,"Dans le rapport, le partenariat figure parmi les priorités.","In the report, the a partnership is listed among the priorities.",Module L1 — Mon ministère
Travailler en partenariat,,,,to work in partnership,"Avant la séance d’information, il faudra Travailler en partenariat les options possibles.","Before the briefing, we’ll work in partnership the possible options.",Module L1 — Mon ministère
politiques,,m,Low,policies,Un budget supplémentaire a été alloué à politiques cette année.,An additional budget was allocated to policies this year.,Module L1 — Mon ministère
Élaborer; appliquer; faire respecter (les politiques),,,,to develop; implement; administer (policies),"Après l’analyse des données, le groupe de travail va Élaborer; appliquer; faire respecter (les politiques).","After analyzing the data, the working group will develop.",Module L1 — Mon ministère
programme,,f,Low,a program,Nous misons sur programme pour renforcer l’équité et l’inclusion.,We’re relying on a program to strengthen equity and inclusion.,Module L1 — Mon ministère
Administrer; être responsable; gérer; mettre sur pied; s’occuper (d’un programme),,,,to administer; be in charge; manage; set up; handle (a program),Nous devons Administrer; être responsable; gérer; mettre sur pied; s’occuper (d’un programme) avant la date limite fixée par le gestionnaire.,We must administer before the deadline set by the manager.,Module L1 — Mon ministère
Responsable,mf,mf,High,responsible,"Lors de la réunion, le Responsable a été présenté(e) à l’équipe.","During the meeting, the responsible was presented to the team.",Module L1 — Mon ministère
Être responsable de,,,,to be in charge of,"Pour respecter l’échéancier, on va Être responsable de dès cette semaine.","To meet the timeline, we will be in charge of this week.",Module L1 — Mon ministère
services,,m,Low,services,"Dans le rapport, le services figure parmi les priorités.","In the report, the services is listed among the priorities.",Module L1 — Mon ministère
Fournir un service à,,,,to provide services to,"Avant la séance d’information, il faudra Fournir un service à les options possibles.","Before the briefing, we’ll provide services to the possible options.",Module L1 — Mon ministère
Assurer un service auprès de la clientèle,,,,to ensure client services,"Dans la note d’information, on propose de Assurer un service auprès de la clientèle pour réduire les risques.","In the briefing note, we propose to ensure client services to reduce risks.",Module L1 — Mon ministère
structure organisationnelle,,f,Low,the organizational structure,La mise en œuvre repose en grande partie sur structure organisationnelle.,Implementation largely depends on the organizational structure.,Module L1 — Mon ministère
S’adapter (facilement),,,,to adapt (very easily),Le ministère s’attend à ce que nous puissions S’adapter (facilement) sans retard.,The department expects us to adapt without delay.,Module L2 — La connaissance de soi
