FR,Article,EN,Example,TAGS
À mon avis,,in my opinion,"À mon avis, une approche produit améliorerait la cohérence des services numériques.",opinion;Exprimer une opinion
C’est du moins mon opinion.,,"at least, that’s my opinion",Nous devrions publier un sommaire en langage clair — c’est du moins mon opinion.,opinion;Exprimer une opinion
D’après moi,,in my view,"D’après moi, la consultation des régions doit commencer avant la rédaction finale.",opinion;Exprimer une opinion
De mon point de vue,,from my point of view,"De mon point de vue, la solution SaaS réduit le délai de mise en œuvre.",opinion;Exprimer une opinion
En ce qui me concerne,,as far as I’m concerned,"En ce qui me concerne, la transparence des critères de priorisation est essentielle.",opinion;Exprimer une opinion
Il me semble que,,it seems to me that,Il me semble que les risques opérationnels ont été sous-estimés.,opinion;Exprimer une opinion
J’ai l’idée que,,I have a feeling that,J’ai l’idée que le comité demandera une seconde analyse de rentabilité.,opinion;Exprimer une opinion
J’ai l’impression que,,I have the impression that,J’ai l’impression que les parties prenantes veulent plus de temps pour réviser.,opinion;Exprimer une opinion
Je considère que,,I consider that,Je considère que le plan de transition doit inclure un volet formation.,opinion;Exprimer une opinion
Je crains qu’il ne soit,,I fear that it is,Je crains qu’il ne soit trop tard pour lancer un appel d’offres ce trimestre.,opinion;Exprimer une opinion
Je crois que,,I believe that,Je crois que la gouvernance sera plus claire avec des rôles définis.,opinion;Exprimer une opinion
Je dois dire que,,I must say,Je dois dire que la communication initiale manquait de précision.,opinion;Exprimer une opinion
J’estime que,,I consider that; I reckon that,J’estime que le budget actuel ne couvre pas les exigences de sécurité.,opinion;Exprimer une opinion
Je ne pense pas.,,I don’t think so,— Peut-on réduire l’échéancier? — Je ne pense pas.,opinion;Exprimer une opinion
Je ne peux pas m’empêcher de penser que,,I can’t help thinking that,Je ne peux pas m’empêcher de penser que la stratégie d’adoption doit être revue.,opinion;Exprimer une opinion
Je pense que,,I think (that),Je pense que nous devrions tester le service avec un projet pilote.,opinion;Exprimer une opinion
Je pense que non.,,I don’t think so,— Le risque est-il critique? — Je pense que non.,opinion;Exprimer une opinion
Je pense que oui.,,I think so,— Avons-nous les capacités internes? — Je pense que oui.,opinion;Exprimer une opinion
Je suis certain que,,I’m certain that,Je suis certain que la solution augmentera la satisfaction des usagers.,opinion;Exprimer une opinion
Je suis convaincu que,,I’m convinced that,Je suis convaincu que l’automatisation réduira les erreurs manuelles.,opinion;Exprimer une opinion
Je suis d’accord,,I agree,Je suis d’accord : il faut publier un tableau de bord de performance.,opinion;Exprimer une opinion
Je suis d’avis que,,I’m of the opinion that,Je suis d’avis que les critères d’accès doivent être harmonisés.,opinion;Exprimer une opinion
Je suis du même avis,,I agree,Je suis du même avis que le directeur quant à la priorisation des demandes.,opinion;Exprimer une opinion
Je suis persuadé que,,I’m convinced that,Je suis persuadé que la formation réduira les tickets de soutien.,opinion;Exprimer une opinion
Je suis sûr que,,I’m sure that,Je suis sûr que nous pouvons livrer avant le 31 mars.,opinion;Exprimer une opinion
Je suppose que,,I suppose that,Je suppose que l’équipe aura besoin d’un renfort temporaire.,opinion;Exprimer une opinion
Je trouve que,,I find that; I feel that,Je trouve que le gabarit de rapport pourrait être allégé.,opinion;Exprimer une opinion
J’imagine que,,I imagine that,J’imagine que les coûts diminueront après la phase de migration.,opinion;Exprimer une opinion
"Moi, je…",,"as for me, I…","Moi, je prioriserais la qualité des données avant toute intégration.",opinion;Exprimer une opinion
Personnellement,,personally,"Personnellement, je privilégie une communication proactive avec les partenaires.",opinion;Exprimer une opinion
Pour ma part,,for my part,"Pour ma part, je soutiens l’option à plus faible risque.",opinion;Exprimer une opinion
Pour moi,,in my view,"Pour moi, la clarté des responsabilités est la clé du succès.",opinion;Exprimer une opinion
Quant à moi,,as for me,"Quant à moi, il faut documenter les hypothèses dès le départ.",opinion;Exprimer une opinion
Selon moi,,in my view,"Selon moi, un prototype rapide aidera à valider les besoins.",opinion;Exprimer une opinion
Si vous voulez mon opinion/avis,,if you want my opinion,"Si vous voulez mon opinion, on devrait impliquer les utilisateurs tôt.",opinion;Exprimer une opinion
Telle est mon opinion sur…,,that’s my view of/on…,Telle est mon opinion sur la feuille de route proposée.,opinion;Exprimer une opinion
Il est/C’est certain que,,it’s certain that,Il est certain que la mesure aura des impacts budgétaires.,opinion;Soutenir une opinion
Il est/C’est clair que,,it’s clear that,C’est clair que les exigences de conformité ont augmenté.,opinion;Soutenir une opinion
Il est/C’est évident que,,it’s obvious that,Il est évident que le soutien aux utilisateurs doit être renforcé.,opinion;Soutenir une opinion
Il est/C’est impossible que,,it’s impossible that,Il est impossible que le projet soit clôturé sans rapport final.,opinion;Soutenir une opinion
Il est/C’est injuste que,,it’s unfair that,C’est injuste que certaines équipes n’aient pas accès aux mêmes outils.,opinion;Soutenir une opinion
Il est/C’est juste que,,it’s fair that,Il est juste que les critères d’évaluation soient publiés.,opinion;Soutenir une opinion
Il est/C’est possible que,,it’s possible that,Il est possible que l’appel d’offres soit relancé.,opinion;Soutenir une opinion
Il est/C’est probable que,,it’s probable that,Il est probable que la date de livraison doive être ajustée.,opinion;Soutenir une opinion
Il est/C’est sûr que,,it’s surely/it’s certain that,C’est sûr que la centralisation simplifiera la gouvernance.,opinion;Soutenir une opinion
Il est/C’est vrai que,,it’s true that,"Il est vrai que l’échéancier est serré, mais il reste réalisable.",opinion;Soutenir une opinion
J’ai entendu dire que + proposition,,I heard that + clause,J’ai entendu dire que le financement supplémentaire a été confirmé.,opinion;Soutenir une opinion
J’ai entendu parler de + nom,,I heard about + noun,J’ai entendu parler du nouveau cadre d’architecture d’entreprise.,opinion;Soutenir une opinion
Je sais que,,I know that,Je sais que le secrétariat prépare une mise à jour des directives.,opinion;Soutenir une opinion
On dit que,,people say that,On dit que le programme sera étendu à d’autres ministères.,opinion;Soutenir une opinion
On sait que,,we know that,On sait que la capacité actuelle ne suffit pas pour la haute saison.,opinion;Soutenir une opinion
Par exemple,,for example,"Par exemple, plusieurs provinces ont déjà adopté ce modèle.",opinion;Soutenir une opinion
À ton avis ?,,what do you think?,"À ton avis, faut-il intégrer cette exigence dès la première version ?",opinion;Demander une opinion
Avez-vous une opinion sur,,do you have an opinion about,Avez-vous une opinion sur la stratégie de déploiement proposée ?,opinion;Demander une opinion
Comment percevez-vous,,how do you view,Comment percevez-vous l’impact des changements pour les usagers ?,opinion;Demander une opinion
D’après vous,,in your view,"D’après vous, quel risque a le plus grand impact ?",opinion;Demander une opinion
