form,base_preposition,antecedent_type,meaning_short,notes,example_fr,example_en
lequel,(varies),thing (masc. sg.),which/whom (after a preposition),Agrees with antecedent: lequel/laquelle/lesquels/lesquelles.,"Le rapport, dans lequel figurent les indicateurs clés, sera publié demain.","The report, in which the key indicators appear, will be published tomorrow."
laquelle,(varies),thing (fem. sg.),which (after a preposition),Feminine singular of 'lequel'.,"La plateforme, sur laquelle se connectent les agents, sera mise à jour ce soir.","The platform, on which the agents log in, will be updated tonight."
lesquels,(varies),things (masc. pl.),which (after a preposition),Masculine plural of 'lequel'.,"Les critères, selon lesquels nous évaluons les fournisseurs, ont été révisés.","The criteria, according to which we evaluate vendors, have been revised."
lesquelles,(varies),things (fem. pl.),which (after a preposition),Feminine plural of 'lequel'.,"Les mesures, parmi lesquelles la sensibilisation, seront déployées en priorité.","The measures, among which awareness-raising, will be rolled out first."
auquel,à,thing (masc. sg.),to which / for which,Contraction of à + lequel; agrees in gender/number.,"Le programme, auquel plusieurs directions contribuent, doit être renouvelé.","The program, to which several branches contribute, must be renewed."
à laquelle,à,thing (fem. sg.),to which / for which,Feminine singular of 'auquel'.,"La norme, à laquelle tout le personnel doit se conformer, entre en vigueur lundi.","The standard, to which all staff must comply, takes effect on Monday."
auxquels,à,things (masc. pl.),to which / for which,Plural of 'auquel' (masc.).,"Les objectifs, auxquels le plan stratégique fait référence, sont publics.","The objectives, to which the strategic plan refers, are public."
auxquelles,à,things (fem. pl.),to which / for which,Plural of 'auquel' (fem.).,"Les plateformes, auxquelles les régions auront accès, sont sécurisées.","The platforms, to which the regions will have access, are secure."
duquel,de,thing (masc. sg.),of which / from which / about which,Contraction of de + lequel; agrees in gender/number.,"Le risque, duquel découlent plusieurs mesures d’atténuation, est majeur.","The risk, from which several mitigation measures follow, is significant."
de laquelle,de,thing (fem. sg.),of which / from which / about which,Feminine singular of 'duquel'.,"La directive, de laquelle s’inspirent nos lignes directrices, a été modifiée.","The directive, from which our guidelines draw inspiration, was amended."
desquels,de,things (masc. pl.),of which / from which / about which,Plural of 'duquel' (masc.).,"Les incidents, desquels nous tirons des leçons, sont documentés.","The incidents, from which we learn lessons, are documented."
desquelles,de,things (fem. pl.),of which / from which / about which,Plural of 'duquel' (fem.).,"Les procédures, desquelles découlent nos pratiques, seront mises à jour.","The procedures, from which our practices derive, will be updated."
avec lequel,avec,thing,with which,Use for things; for persons use 'avec qui'.,"Un outil, avec lequel on peut automatiser les rapports, sera testé.","A tool, with which we can automate reports, will be tested."
pour lequel,pour,thing/goal,for which,Also used for rationales and purposes.,"Le financement, pour lequel nous avons plaidé, a été accordé.","The funding, for which we advocated, has been granted."
contre lequel,contre,thing,against which,Use 'contre qui' for people.,"Un risque, contre lequel nous devons nous protéger, est la fuite de données.","A risk, against which we must protect ourselves, is data leakage."
sur lequel,sur,thing/document,on which / about which,Frequent with platforms/sites/documents.,"Le portail, sur lequel les usagers déposent leurs demandes, sera indisponible.","The portal, on which users submit their requests, will be unavailable."
dans lequel,dans,thing/place,in which,"Often with reports, systems, rooms.","Le système, dans lequel sont stockées les pièces jointes, sera migré.","The system, in which attachments are stored, will be migrated."
par lequel,par,thing/process,by which / through which,Emphasizes means or channel.,"Le processus, par lequel passent toutes les approbations, a été simplifié.","The process, through which all approvals pass, has been simplified."
entre lesquels,entre,things,between which,Plural only; emphasizes alternatives/groups.,"Deux scénarios, entre lesquels le comité devra trancher, ont été présentés.","Two scenarios, between which the committee must decide, were presented."
grâce auquel,grâce à,thing (masc. sg.),thanks to which,Agrees in gender/number: grâce à laquelle/auxquels/auxquelles.,"Un partenariat, grâce auquel nous avons accéléré la livraison, a été conclu.","A partnership, thanks to which we accelerated delivery, was finalized."
au moyen duquel,au moyen de,thing/tool,by means of which,Formal register.,"Un formulaire, au moyen duquel les citoyens soumettent des demandes, sera refait.","A form, by means of which citizens submit requests, will be redesigned."
à l’aide duquel,à l’aide de,thing/tool,with the help of which,Neutral/formal.,"Un guide, à l’aide duquel les équipes appliquent la norme, sera diffusé.","A guide, with the help of which teams apply the standard, will be distributed."
au cours duquel,au cours de,time/event,during which,Time anchor; agrees in gender/number.,"Un atelier, au cours duquel nous validerons les exigences, aura lieu mardi.","A workshop, during which we will validate requirements, will be held Tuesday."
à la suite duquel,à la suite de,event,following which,Sequence connector.,"Un audit, à la suite duquel plusieurs mesures sont prévues, débute en mai.","An audit, following which several measures are planned, starts in May."
à partir duquel,à partir de,time/reference,from which / starting from which,Starting point in time/data.,"Un indicateur, à partir duquel on calcule le rendement, sera recalibré.","An indicator, from which performance is calculated, will be recalibrated."
avec qui,avec,person,with whom,Use with people after prepositions.,Le fournisseur avec qui nous travaillons change son modèle de facturation.,The vendor with whom we work is changing its billing model.
pour qui,pour,person,for whom,Goal/beneficiary (people).,L’équipe pour qui nous développons ce service est à Montréal.,The team for whom we are developing this service is in Montreal.
à qui,à,person,to whom,COI with people.,La directrice à qui j’ai présenté le dossier a donné son accord.,The director to whom I presented the file gave her approval.
de qui,de,person,of whom / from whom / about whom,People after 'de'.,Le collègue de qui j’ai reçu la note part à la retraite.,The colleague from whom I received the memo is retiring.
sur qui,sur,person,about whom / on whom,Less common; acceptable in formal contexts.,La candidate sur qui portent les discussions a une forte expérience.,The candidate about whom the discussions focus has strong experience.
contre qui,contre,person,against whom,Opposition/conflict.,Le recours contre qui l’on se défend sera entendu demain.,The claim against which we are defending ourselves will be heard tomorrow.
chez qui,chez,person,at whose place/organization,Often for institutions/teams.,Le partenaire chez qui nous hébergeons l’application change d’infrastructure.,The partner at whose site we host the application is changing infrastructure.
ce qui,(none),idea/clause (subject),what (that which) — subject,Antecedent is indefinite/whole idea.,"Ce qui nous inquiète, c’est la dépendance aux fournisseurs uniques.",What worries us is the reliance on single vendors.
ce que,(none),idea/clause (object),what (that which) — object,Direct object.,"Ce que j’attends, c’est un plan de transition clair.",What I expect is a clear transition plan.
ce dont,de,idea/clause,what … of/that … about,For verbs/adjectives with 'de'.,"Ce dont nous avons besoin, c’est d’un calendrier réaliste.",What we need is a realistic schedule.
ce à quoi,à,idea/clause,what … to/which … to,For structures with 'à'.,"Ce à quoi nous aspirons, c’est un service centré sur l’usager.",What we aspire to is a user‑centred service.
ce pour quoi,pour,idea/clause,what … for / the reason for which,Purpose/justification.,"Ce pour quoi nous demandons des fonds, c’est la modernisation des systèmes.",What we are requesting funds for is system modernization.
